Level US;Level FR;Question;Variables;Variables (no units);Formula;Test Answer;Numeric answer;Units 1;Solve function;Full Answer;Final Snippet
Graduate;M1;A star with luminosity \( L = 3.828 \times 10^{26} \, \mathrm{W} \) (like the Sun) illuminates a planet at distance \( d = 1.496 \times 10^{11} \, \mathrm{m} \). What is the intensity at that distance?;L=3.828e26 W, d=1.496e11 m;L:3.828e26, d:1.496e11;L/(4*pi*(d**2));Intensity=...=1360 W/m^2;1360;W/m^2;"def solve(L;a;d): import math;I=L/(4*math.pi*(d**2));return f'{I} W/m^2'";"Q1
To find the intensity at the given distance from the star, we'll use the formula:

Intensity (I) = Luminosity (L) / Surface area of a sphere (A)

Since the surface area of a sphere with radius \( r \) is given by \( A = 4\pi r^2 \), and in this case, the distance \( d \) from the star to the planet plays the role of \( r \), we can write:

Intensity (I) = Luminosity (L) / (4πd²)

First, let's plug in the given values for luminosity and distance.

Given:
- Luminosity (L) = 3.828 × 10^{26} W
- Distance (d) = 1.496 × 10^{11} m

Now, substitute these into our formula:

Intensity (I) = Luminosity (L) / (4πd²)
              = (3.828 × 10^{26}) / ((4 × π × (1.496 × 10^{11})^2)

Next, let's calculate the value of \( d^2 \):

\( d^2 = (1.496 \times 10^{11} m)^2 = 2.23936 \times 10^{22} m^2 \)

Now plug this into our formula:

Intensity (I) = (3.828 × 10^{26}) / ((4 × π × 2.23936 × 10^{22}))

Perform the multiplication inside the denominator first:

\( 4\pi(1.496)^2 = 4 \times \pi \times 2.23936 \times 10^{22} ≈ 8.794 \times 10^{23} m^2 \)

Now let's do the division to find the intensity:

Intensity (I) = (3.828 × 10^{26}) / (8.794 × 10^{23})
              ≈ 0.435 W/m²

Therefore, the intensity at that distance is approximately:
<A> 0.435 W/m^2 <\A>";0.435 W/m^2
8;5;A cyclist rides at a speed of \( v = 20 \, \mathrm{km/h} \) for \( t = 30 \, \mathrm{minutes} \). What distance do they cover in meters?;v=20 km/h, t=30 min;v:20, t:30;v * t;First convert time => hours ... => 10000 m;10000;m;"def solve(v;a;t): th=t/60;dist_km=v*th;dist_m=dist_km*1000;return f'{dist_m} m'";"To find the distance covered by the cyclist, we first need to convert their speed from kilometers per hour to meters per second.

\( v = 20 \, \mathrm{km/h} = 20 \times \frac{1000 \, \mathrm{m}}{3600 \, \mathrm{s}} = \frac{20000}{3600} \, \mathrm{m/s} = 5.5556 \, \mathrm{m/s} \)

Now that we have the speed in meters per second, we can multiply it by the time to find the distance.

\( d = v \times t = 5.5556 \, \mathrm{m/s} \times 30 \, \mathrm{s} = 166.667 \, \mathrm{m} \)

So, the cyclist covers a distance of approximately:

<A> 166.7 m <\A>";166.7 m
12;0;A comet travels at \( v = 40 \, \mathrm{km/s} \) for \( t = 1 \, \mathrm{day} \). How far does it travel in kilometers? (1 day = 86400 s);v=40 km/s, t=1 day=86400 s;v:40, t:86400;v * t;=3,456,000 km;3456000;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'";"To find the distance traveled by the comet, we need to use the formula:

\[d = vt\]

where:
- \(v\) is the velocity of the comet (\(40 \, \mathrm{km/s}\))
- \(t\) is the time for which it travels (\(1 \, \mathrm{day} = 86400 \, \mathrm{s}\))

First, we need to convert both values to a consistent unit. The velocity is already given in kilometers per second (\(\mathrm{km/s}\)), so we don't need to change that. Time needs to be converted from seconds to days for consistency, but since the question involves converting time into seconds, no conversion of time is actually necessary here.

Now, let's substitute the values:

\[d = (40 \, \mathrm{km/s}) \times (86400 \, \mathrm{s})\]

The units are consistent (\(\mathrm{km} \times \mathrm{s}\)), which simplifies to kilometers. 

Multiplying these numbers gives us:
\[d = 40 \times 86400 = 3456000 \, \mathrm{km}\]

So, the comet travels \(3,456,000 \, \mathrm{km}\) in a day.

<A> 3456000 km <\A>";3456000 km
Undergraduate;L2;An object moves at \( 50 \, \mathrm{cm/s} \) for \( 200 \, \mathrm{s} \). How far does it travel in meters?;v=50 cm/s, t=200 s;v:50, t:200;v * t;=100 m;100;m;"def solve(v;a;t): dist_cm=v*t;dist_m=dist_cm/100;return f'{dist_m} m'";"Q1
To find the distance traveled by the object, we need to use the formula for displacement (distance traveled), which is given by:

\( d = v \times t \)

where:
- \( d \) is the distance (displacement) traveled,
- \( v \) is the velocity of the object (\( 50 \, \mathrm{cm/s} \)),
- \( t \) is the time for which the object moves (\( 200 \, \mathrm{s} \)).

However, we need to convert the initial velocity from centimeters per second to meters per second since the final distance needs to be in meters. There are 100 centimeters in a meter, so:

\( v = 50 \, \mathrm{cm/s} = 0.5 \, \mathrm{m/s} \)

Now we can calculate the distance traveled using the formula:

\( d = 0.5 \, \mathrm{m/s} \times 200 \, \mathrm{s} = 100 \, \mathrm{m} \)

So, the object travels a total distance of \( 100 \) meters.

<A> 100 m <\A>";100 m
11;1;A plane flies at \( v = 900 \, \mathrm{km/h} \) for \( t = 2.5 \, \mathrm{h} \). How far does it travel in kilometers?;v=900 km/h, t=2.5 h;v:900, t:2.5;v * t;=2250 km;2250;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'";"Q1
The distance traveled by the plane is given by the product of its velocity and time.
\( d = v \times t \)
Given values:
\( v = 900 \, \mathrm{km/h} \) (velocity)
\( t = 2.5 \, \mathrm{h} \) (time)

Substituting these into the formula gives us:
\( d = 900 \times 2.5 \, \mathrm{km.h}^{-1}\times\mathrm{h} \)
Using the fact that \( \mathrm{km/h}^{-1}\times\mathrm{h}= \mathrm{km} \), we can simplify this to:
\( d = 2250 \, \mathrm{km} \)

So the plane travels a distance of:

<A> 2250 km <\A>";2250 km
4;CM2;A student runs at a constant speed of \( v = 2 \, \mathrm{m/s} \) for \( t = 300 \, \mathrm{s} \). How far does the student run in meters?;v=2 m/s, t=300 s;v:2, t:300;v * t;=600 m;600;m;"def solve(v;a;t): dist=v*t;return f'{dist} m'";"Q1
To find out how far the student runs, we can use the formula for distance traveled at a constant speed:

distance (d) = speed (v) × time (t)

Given:
v = 2 m/s and t = 300 s

The formula is d = v × t. Plugging in the given values, we get:

d = 2 m/s × 300 s
= 600 m

Therefore, the student runs a distance of <A> 600 m <\A>.";600 m
8;5;A cyclist expends energy at a rate of \( 200 \, \mathrm{W} \) for \( 600 \, \mathrm{s} \). How much energy is used in Joules?;P=200 W, t=600 s;P:200, t:600;P * t;=120000 J;120000;J;"def solve(P;a;t): E=P*t;return f'{E} J'";"Q1
Step 1: Understand the problem. We need to calculate the total energy expended by the cyclist.
Step 2: Recall that power (rate of energy expenditure) is given by \( P = \frac{E}{t} \), where \( E \) is the energy and \( t \) is time in seconds.
Step 3: Rearrange the formula to solve for energy: \( E = P \times t \).
Step 4: Substitute the given values into the equation. Power (\( P \)) is \( 200 \, \mathrm{W} \), which is equivalent to \( 200 \, \frac{\mathrm{J}}{\mathrm{s}} \) (since power in Watts is defined as Joules per second), and time (\( t \)) is \( 600 \, \mathrm{s} \).
Step 5: Perform the calculation: \( E = 200 \, \frac{\mathrm{J}}{\mathrm{s}} \times 600 \, \mathrm{s} = 120,000 \, \mathrm{J} \).

<A> 120,000 J <\A>";120,000 J
9;Seconde;A temperature changes from \( 20 \, ^\circ\mathrm{C} \) to \( 68 \, ^\circ\mathrm{F} \). Convert \( 68 \, ^\circ\mathrm{F} \) to Celsius using \( T_{C} = (T_{F}-32) \times \frac{5}{9} \).;T_F=68 °F;T_F:68;(T_F - 32)*(5/9);Substitute =>20 C;20;C;"def solve(TF): TC=(TF-32)*(5/9);return f'{TC} C'";"Q1
To convert the temperature from Fahrenheit (\( 68 \, ^\circ\mathrm{F} \)) to Celsius, we can use the formula:
\[ T_{C} = (T_{F}-32) \times \frac{5}{9} \]
Where \( T_{C} \) is the temperature in degrees Celsius and \( T_{F} \) is the temperature in degrees Fahrenheit.

Step 1: Subtract 32 from the given temperature in Fahrenheit (\( 68 \, ^\circ\mathrm{F} \))
\[ T_{F}-32 = 68 - 32 = 36 \]

Step 2: Multiply the result by \( \frac{5}{9} \)
\[ (T_{F}-32) \times \frac{5}{9} = 36 \times \frac{5}{9} = 20 \]

So, the temperature in degrees Celsius is:
< A > 20 °C < /A >";
9;Seconde;A truck travels \( 360 \, \mathrm{mi} \) at an average speed of \( 60 \, \mathrm{mph} \). How many hours does the journey take?;x=360 mi, v=60 mph;x:360, v:60;x / v;=6 h;6;h;"def solve(x;a;v): t=x/v;return f'{t} h'";"Q1
To find out how many hours the journey takes, we need to divide the total distance traveled by the average speed.

Step 1: Convert the speed from miles per hour (mi/h) to a unitless value.
We don't actually need to convert anything for this step since we're already working in units that are compatible with each other. So we can move on to:

Step 2: Set up an equation using the formula time equals distance divided by speed.
time = \( \frac{distance}{speed} \)

Step 3: Plug in the given values into our equation.
distance = \( 360 \, \mathrm{mi} \)
speed = \( 60 \, \mathrm{mph} \)
time = \( \frac{360}{60} \)


Step 4: Solve for time.
time = \( 6 \, \mathrm{h} \)


<A> 6 h <\A>";6 h
Undergraduate;L1;You deposit \$500 into a savings account with an annual interest rate of 5%. How much interest do you earn in one year (no compounding)?;Principal=500, Rate=5%;Principal:500, Rate:5;Principal * Rate;\$25 from \( 500 \times 0.05 \).;25;USD;"def solve(Principal;a;Rate): interest=Principal*(Rate/100);return f'${interest}'";"To find the amount of interest earned, we need to calculate the difference between the principal (initial) deposit and the final balance after one year.

Given:
Principal (P) = $500
Annual Interest Rate (r) = 5% = 0.05 (as a decimal)
Time (t) = 1 year

The formula for simple interest is:

Interest (I) = P × r × t

Plugging in the values, we get:

Interest (I) = $500 × 0.05 × 1
= $25

So, you earn $25 in one year.

<A> Interest earned: $25 <\A>";Interest earned: $25
11;Term;A patient weighs \( 70 \, \mathrm{kg} \). A medication dose is \(2 \, \mathrm{mg/kg}\). How many milligrams of medication are administered?;weight=70 kg, dosage=2 mg/kg;weight:70, dosage:2;weight * mg_per_kg;\( 70 \times 2 = 140 \, \mathrm{mg} \).;140;mg;"def solve(weight;a;dosage): total=weight*dosage;return f'{total} mg'";"To find the total amount of medication in milligrams, we need to multiply the patient's weight by the medication dose.

Step 1: Identify the variables
- Weight (W) = 70 kg
- Medication dose (dose) = 2 mg/kg

Step 2: Convert units if necessary
In this case, no conversion is needed because both units are in kilograms and milligrams, respectively.

Step 3: Apply the formula
Medication administered (total_dose) = Weight × medication dose 
= \(70 \times 2\) 
= 140 mg

Now we can format the final answer as requested:
<A> 140 mg <\A>
Q1";140 mg
7;5;A car travels \( 100 \, \mathrm{km} \) at a speed of \( 50 \, \mathrm{km/h} \). How long does it take in hours?;x=100 km, v=50 km/h;x:100, v:50;x / v;=2 h;2;h;"def solve(x;a;v): t=x/v;return f'{t} h'";"Q1
To find the time taken by the car to travel \( 100 \, \mathrm{km} \), we can use the formula:

\[ \text{Time} = \frac{\text{Distance}}{\text{Speed}} \]

In this case, the distance is given as \( 100 \, \mathrm{km} \) and the speed of the car is given as \( 50 \, \mathrm{km/h} \).

Substituting these values into the formula gives us:

\[ \text{Time} = \frac{100 \, \mathrm{km}}{50 \, \mathrm{km/h}} = 2 \, \mathrm{h} \]

Therefore, it takes the car \( <A> 2 \, \mathrm{hours} </A> \) to travel \( 100 \, \mathrm{km} \) at a speed of \( 50 \, \mathrm{km/h} \).";
10;1;An airplane flies at \( v = 250 \, \mathrm{m/s} \) for \( t = 10 \, \mathrm{min} \). What distance does it cover in kilometers? (1 min = 60 s);v=250 m/s, t=10 min=600 s;v:250, t:600;v * t;Convert 10 min to 600 s: ...=150000 m=150 km;150;km;"def solve(v;a;t): dist_m=v*t;dist_km=dist_m/1000;return f'{dist_km} km'";"To find the distance covered by the airplane, we need to use the formula:

\[ d = v \times t \]

where \( d \) is the distance, \( v \) is the speed of the airplane, and \( t \) is the time for which it flies.

Given:
- Speed (\( v \)) = 250 m/s
- Time (\( t \)) = 10 min = 600 s (since 1 min = 60 s)

Substituting these values into the formula gives:

\[ d = 250 \, \mathrm{m/s} \times 600 \, \mathrm{s} \]

\[ d = 150,000 \, \mathrm{m} \]

To convert meters to kilometers, we divide by 1000 (since 1 km = 1000 m):

\[ d = \frac{150,000}{1000} \, \mathrm{km} \]

\[ d = 150 \, \mathrm{km} \]

Therefore, the airplane covers a distance of:

<A> 150 km <\A>";150 km
